Date,ID,Site,Flow,Temp,DO,Sat,pH,Cdtv
8/1/2006,1,Lake Louise Outlet,1.92,18.12,7.35,78.2,7.74,783
8/1/2006,2,Clark Ditch,1.28,26.67,6.1,77.2,7.7,597
8/1/2006,3,Unnamed Tributary (Weblos),0.54,27.55,2.51,31.2,7.23,820
8/1/2006,4,Block Ditch,0.68,18.54,3.43,37.7,7.18,804
8/1/2006,5,Salt Creek Headwaters,4.37,22.05,5.08,56.2,7.37,601
8/1/2006,6,Sager's Lake Outlet,3.35,24.87,7.65,75.1,7.63,621
8/1/2006,7,Beauty Creek,1.09,16.56,6.3,65.6,7.2,930
8/2/2006,8,Pepper Creek,1.73,19.53,8.28,90.7,8.05,774
8/2/2006,9,Unnamed Tributary (Mallards Landing),0.12,24.91,6.75,81.6,7.82,739
8/8/2006,11,Squirrel Creek,0.04,16.8,5.25,60.3,7.65,642
8/8/2006,12,Robbin's Ditch ,0.5,20.2,5.2,64,8.06,1378
8/8/2006,13,Damon Run,2.33,25.93,7.32,93,7.69,820
8/8/2006,14,Salt Creek (Lenburg),35.9,21.17,7.11,81.9,7.88,831
5/7/2007,1,Lake Louise Outlet,2.55,12.7,6.7,64.9,7.35,858
5/7/2007,2,Clark Ditch,2.77,12.16,8.66,82.7,7.82,641
5/7/2007,3,Unnamed Tributary (Weblos),0.01,12.83,6.6,64,7.38,768
5/7/2007,4,Block Ditch,0.4,10.73,6.75,62.5,7.49,934
5/7/2007,5,Salt Creek Headwaters,6.19,10.55,7.74,71.3,7.6,700
5/7/2007,6,Sager's Lake Outlet,3.46,12.93,8.07,78.5,7.8,868
5/7/2007,7,Beauty Creek,2,14.86,8.65,87.8,7.57,918
5/7/2007,8,Pepper Creek,2.58,15.4,8.3,85.2,7.82,824
5/7/2007,9,Unnamed Tributary (Mallards Landing),0.98,16.79,9.23,97.6,8.03,734
5/7/2007,10,Butternut Springs Outlet,1.43,16.28,8.86,92.5,8.18,629
5/7/2007,11,Squirrel Creek,0.57,18.84,11.91,131.3,8.33,813
5/7/2007,12,Robbin's Ditch,0.7,15.31,8.4,86.3,7.73,1433
5/7/2007,13,Damon Run,8.41,17.08,11.15,118.5,7.96,714
5/7/2007,14,Salt Creek (Lenburg),59,16.54,8.56,90,7.94,851
5/16/2007,1,Lake Louise Outlet,1.84,13.3,6.42,61.5,7.42,812
5/16/2007,2,Clark Ditch,2.97,14.4,8.78,85.9,7.82,623
5/16/2007,3,Unnamed Tributary (Weblos),0.91,13.7,6.52,62.8,7.44,789
5/16/2007,4,Block Ditch,0.6,11.3,7.06,64.4,7.41,869
5/16/2007,5,Salt Creek Headwaters,8.52,13,7.11,68,7.58,634
5/16/2007,6,Sager's Lake Outlet,4.45,15.6,8.72,87.7,7.9,266
5/16/2007,7,Beauty Creek,1.34,15.9,8.82,85.3,7.66,801
5/16/2007,8,Pepper Creek,3.62,14.8,8.98,88.6,7.99,728
5/16/2007,9,Unnamed Tributary (Mallards Landing),0.59,15.2,9.15,91,8.1,664
5/16/2007,10,Butternut Springs Outlet,2.06,15.6,9.06,91.1,8.11,528
5/16/2007,11,Squirrel Creek,2.06,20,9.82,108.1,8.13,819
5/16/2007,12,Robbin's Ditch,1.33,16.5,7.6,77.9,7.72,1112
5/16/2007,13,Damon Run,12.52,16.4,9.89,101.2,7.86,704
5/16/2007,14,Salt Creek (Lenburg),81.91,16.8,7.37,76.1,7.91,758
5/22/2007,1,Lake Louise Outlet,1.73,12.91,7.76,74.6,7.69,846
5/22/2007,2,Clark Ditch,1.88,15.81,7.93,81.5,8,724
5/22/2007,3,Unnamed Tributary (Weblos),0.4,13.91,6.5,64.1,7.61,929
5/22/2007,4,Block Ditch,0.69,12.58,4.38,42.1,7.47,931
5/22/2007,5,Salt Creek Headwaters,4.66,14.11,6.86,67.7,7.79,699
5/22/2007,6,Sager's Lake Outlet,2.89,15.91,8.98,89.9,7.9,913
5/22/2007,7,Beauty Creek (avg),1.07,12.53,9.09,86.9,7.81,913
5/22/2007,8,Pepper Creek,2.19,14.11,8.95,89.2,8.1,823
5/22/2007,9,Unnamed Tributary (Mallards Landing),0.84,18.09,8.67,93.7,8.17,788
5/22/2007,10,Butternut Springs Outlet,0.91,16.37,8.73,91.2,8.27,651
5/22/2007,11,Squirrel Creek,0.67,23.62,8.84,102.5,8.05,858
5/22/2007,12,Robbin's Ditch,0.31,16.7,8.57,81.7,7.81,1480
5/22/2007,13,Damon Run,5.27,18.18,10.01,109.2,8.04,799
