Date,ID,Site,Flow,Temp,DO,Sat,pH,Cond,Cluster
8/1/2006,1,Lake Louise Outlet,1.92,18.12,7.35,78.20,7.74,783.00,2
8/1/2006,2,Clark Ditch,1.28,26.67,6.10,77.20,7.70,597.00,2
8/1/2006,3,Unnamed Tributary (Weblos),0.54,27.55,2.51,31.20,7.23,820.00,2
8/1/2006,4,Block Ditch,0.68,18.54,3.43,37.70,7.18,804.00,2
8/1/2006,5,Salt Creek Headwaters,4.37,22.05,5.08,56.20,7.37,601.00,2
8/1/2006,6,Sager's Lake Outlet,3.35,24.87,7.65,75.10,7.63,621.00,2
8/1/2006,7,Beauty Creek,1.09,16.56,6.30,65.60,7.20,930.00,0
8/2/2006,8,Pepper Creek,1.73,19.53,8.28,90.70,8.05,774.00,2
8/2/2006,9,Unnamed Tributary (Mallards Landing),0.12,24.91,6.75,81.60,7.82,739.00,2
8/8/2006,11,Squirrel Creek,0.04,16.80,5.25,60.30,7.65,642.00,2
8/8/2006,12,Robbin's Ditch ,0.50,20.20,5.20,64.00,8.06,1378.00,2
8/8/2006,13,Damon Run,2.33,25.93,7.32,93.00,7.69,820.00,2
8/8/2006,14,Salt Creek (Lenburg),35.90,21.17,7.11,81.90,7.88,831.00,2
5/7/2007,1,Lake Louise Outlet,2.55,12.70,6.70,64.90,7.35,858.00,0
5/7/2007,2,Clark Ditch,2.77,12.16,8.66,82.70,7.82,641.00,0
5/7/2007,3,Unnamed Tributary (Weblos),0.01,12.83,6.60,64.00,7.38,768.00,0
5/7/2007,4,Block Ditch,0.40,10.73,6.75,62.50,7.49,934.00,0
5/7/2007,5,Salt Creek Headwaters,6.19,10.55,7.74,71.30,7.60,700.00,0
5/7/2007,6,Sager's Lake Outlet,3.46,12.93,8.07,78.50,7.80,868.00,0
5/7/2007,7,Beauty Creek,2.00,14.86,8.65,87.80,7.57,918.00,0
5/7/2007,8,Pepper Creek,2.58,15.40,8.30,85.20,7.82,824.00,0
5/7/2007,9,Unnamed Tributary (Mallards Landing),0.98,16.79,9.23,97.60,8.03,734.00,1
5/7/2007,10,Butternut Springs Outlet,1.43,16.28,8.86,92.50,8.18,629.00,1
5/7/2007,11,Squirrel Creek,0.57,18.84,11.91,131.30,8.33,813.00,1
5/7/2007,12,Robbin's Ditch,0.70,15.31,8.40,86.30,7.73,1433.00,0
5/7/2007,13,Damon Run,8.41,17.08,11.15,118.50,7.96,714.00,1
5/7/2007,14,Salt Creek (Lenburg),59.00,16.54,8.56,90.00,7.94,851.00,0
5/16/2007,1,Lake Louise Outlet,1.84,13.30,6.42,61.50,7.42,812.00,0
5/16/2007,2,Clark Ditch,2.97,14.40,8.78,85.90,7.82,623.00,0
5/16/2007,3,Unnamed Tributary (Weblos),0.91,13.70,6.52,62.80,7.44,789.00,0
5/16/2007,4,Block Ditch,0.60,11.30,7.06,64.40,7.41,869.00,0
5/16/2007,5,Salt Creek Headwaters,8.52,13.00,7.11,68.00,7.58,634.00,0
